"City","Country","Population","Latitude","Longitude"
"Andorra la Vella","AD",20430,42.5,1.5166667
"Canillo","AD",3292,42.5666667,1.6
"Encamp","AD",11224,42.5333333,1.5833333
"La Massana","AD",7211,42.55,1.5166667
"Les Escaldes","AD",15854,42.5,1.5333333
"Ordino","AD",2553,42.55,1.5333333
"Sant Julià de Lòria","AD",8020,42.4666667,1.5
"Abu Dhabi","AE",603687,24.466667,54.366667
"Dubai","AE",1137376,25.258172,55.304717
"Sharjah","AE",543942,25.35731,55.403304
"Acin","AF",15098,34.082481,70.668152
"Anar Darreh","AF",10023,32.758698,61.653969
"Andarab","AF",27034,35.633484,69.260195
"Asadabad","AF",48400,34.873113,71.14697
"Asmar","AF",15708,35.033328,71.358087
"Aybak","AF",47877,36.26468,68.015512
"Azrow","AF",12526,34.173553,69.645728
"Baglan","AF",108481,36.130684,68.708286
"Bagrami","AF",30256,34.493761,69.274274
"Baraki Barak","AF",22305,33.9675,68.948611
"Cah Ab","AF",23424,37.397734,69.814644
"Carikar","AF",53693,35.016585,69.174011
"Ciras","AF",12778,35.416737,65.982341
"Dawlatabad","AF",13603,36.432589,64.920713
"Dawlatabad","AF",17674,36.98782,66.82066
"Deh Rawud","AF",25683,32.624131,65.459659
"Eskasem","AF",12120,36.706932,71.570658
"Farah","AF",43574,32.374508,62.116383
"Gardan Diwal","AF",6815,34.508977,68.260739
"Gardez","AF",103732,33.597439,69.225922
"Gazni","AF",143049,33.550833,68.4225
"Geresk","AF",43638,31.820894,64.570048
"Herat","AF",272880,34.348167,62.199673
"Jalalabad","AF",200389,34.426468,70.45153
"Jurm","AF",12121,36.864768,70.834207
"Kabul","AF",3043589,34.516667,69.183333
"Kholm","AF",64954,36.697362,67.698255
"Khowst","AF",96246,33.339512,69.92041
"Kuhestan","AF",12087,34.653889,61.197778
"Kusk","AF",16952,33.29565,61.952206
"Lar Gerd","AF",11635,35.489361,66.664088
"Mehtar Lam","AF",17350,34.671389,70.209444
"Mirabad","AF",14160,30.436244,61.838304
"Nahrin","AF",22389,36.064904,69.13343
"Nuristan","AF",17072,34.95,70.4
"Orgun","AF",10665,32.901111,69.152798
"Pagman","AF",49173,34.5875,68.953333
"Panjab","AF",13471,34.387949,67.023273
"Qandahar","AF",391230,31.613323,65.710126
"Qarchi Gak","AF",8942,37.039988,66.788912
"Qarqin","AF",15023,37.404464,66.074375
"Qunduz","AF",161943,36.728955,68.857001
"Rostaq","AF",25644,37.126035,69.83045
"Rudbar","AF",11034,30.15,62.6
"Sahrak","AF",15967,34.107375,64.305199
"Sangin","AF",13579,32.072752,64.835903
"Sar-e Pul","AF",52138,36.215443,65.932487
"Sharan","AF",7368,33.146667,68.791667
"Shibarghan","AF",55658,36.667567,65.752904
"Sindand","AF",29273,33.302944,62.1474
"Tagab","AF",6400,34.855007,69.64917
"Taloqan","AF",64275,36.734133,69.533559
"Taywarah","AF",14398,33.521176,64.421156
"Tir Pol","AF",6979,34.594307,61.268951
"Tokzar","AF",12021,35.948308,66.42132
"Uruzgan","AF",13400,32.927751,66.632534
"Zaranj","AF",33894,30.966667,61.883333
"All Saints","AG",2526,17.05,-61.8
"Carlisle","AG",831,17.1333333,-61.8
"Codrington","AG",682,17.6333333,-61.8333333
"Freetown","AG",623,17.05,-61.7
"Liberta","AG",1668,17.0333333,-61.7833333
"Old Road","AG",623,17.0166667,-61.8333333
"Parham","AG",969,17.0833333,-61.7666667
"Swetes","AG",727,17.05,-61.8
"The Valley","AI",1379,18.2166667,-63.05
"Bajram Curri","AL",7967,42.3572222,20.0730556
"Ballsh","AL",10361,40.5988889,19.7347222
"Berat","AL",47606,40.7058333,19.9522222
"Bilisht","AL",7114,40.6275,20.99
"Bulqizë","AL",11212,41.4916667,20.2219444
"Burrel","AL",15539,41.6102778,20.0088889
"Cërrik","AL",14269,41.0316667,19.9758333
"Çorovodë","AL",14046,40.5041667,20.2272222
"Delvinë","AL",3916,39.9511111,20.0977778
"Durrës","AL",122034,41.3230556,19.4413889
"Elbasan","AL",100903,41.1125,20.0822222
"Ersekë","AL",7890,40.3377778,20.6788889
"Fier","AL",59719,40.7238889,19.5561111
"Fierzë","AL",742,42.2647222,20.0269444
"Fierzë","AL",742,42.2605556,20.0169444
"Fushë-Arrëz","AL",2438,42.0622222,20.0166667
"Fushë-Krujë","AL",10458,41.4783333,19.7177778
"Gjirokastër","AL",23437,40.0758333,20.1388889
"Gramsh","AL",11556,40.8697222,20.1844444
"Himarë","AL",4596,40.1016667,19.7447222
"Kamzë","AL",11026,41.3816667,19.7602778
"Kavajë","AL",29354,41.1855556,19.5569444
"Këlcyrë","AL",2486,40.3130556,20.1894444
"Kërrabë","AL",1177,41.2155556,19.9713889
"Klos","AL",683,41.4844444,20.1080556
"Konispol","AL",1349,39.6588889,20.1813889
"Koplik","AL",4078,42.2136111,19.4363889
"Korçë","AL",58259,40.6186111,20.7808333
"Krastë","AL",1168,41.4225,20.205
"Krujë","AL",21286,41.5091667,19.7927778
"Kuçovë","AL",18166,40.8002778,19.9166667
"Kukës","AL",17972,42.0769444,20.4219444
"Kurbnesh","AL",1429,41.7797222,20.0836111
"Laç","AL",24825,41.6355556,19.7130556
"Leskovik","AL",2655,40.1513889,20.5972222
"Lezhë","AL",18695,41.7836111,19.6436111
"Libohovë","AL",3651,40.0311111,20.2630556
"Librazhd","AL",12691,41.1794444,20.315
"Lushnjë","AL",41423,40.9419444,19.705
"Maliq","AL",3735,40.7058333,20.6997222
"Mamurras","AL",8282,41.5775,19.6922222
"Memaliaj","AL",4951,40.3458333,19.9791667
"Milot","AL",2157,41.6802778,19.7244444
"Orikum","AL",2604,40.3252778,19.4713889
"Patos","AL",22679,40.6833333,19.6194444
"Peqin","AL",7513,41.0461111,19.7511111
"Përmet","AL",10686,40.2336111,20.3516667
"Përrenjas","AL",4015,41.0730556,20.5488889
"Peshkopi","AL",15261,41.685,20.4288889
"Pogradec","AL",25758,40.9025,20.6525
"Poliçan","AL",10663,40.6122222,20.0980556
"Pukë","AL",6495,42.0444444,19.8997222
"Roskovec","AL",6657,40.7375,19.7022222
"Rrëshen","AL",10064,41.7675,19.8755556
"Rrogozhinë","AL",5620,41.0763889,19.6652778
"Rubik","AL",2332,41.7744444,19.7861111
"Sarandë","AL",15147,39.8755556,20.0052778
"Selenicë","AL",6912,40.5305556,19.6358333
"Shëngjin","AL",2698,41.8136111,19.5938889
"Shijak","AL",14138,41.3455556,19.5672222
"Shkodër","AL",89102,42.0675,19.5130556
"Tepelenë","AL",11955,40.2958333,20.0191667
"Tirana","AL",374801,41.3275,19.8188889
"Ulzë","AL",600,41.6827778,19.8933333
"Vlorë","AL",89528,40.4666667,19.4897222
"Vorë","AL",4973,41.3908333,19.655
"Abovyan","AM",1379,40.0488889,44.5475
"Abovyan","AM",35677,40.2691667,44.6244444
"Agarakadzor","AM",1195,39.7363889,45.3455556
"Agarak","AM",1575,40.3077778,44.2847222
"Agarak","AM",1278,41.0105556,44.4675
"Agarak","AM",4707,39.2038889,46.5472222
"Aghavnadzor","AM",1252,40.5841667,44.6913889
"Aghavnadzor","AM",1925,39.7836111,45.2280556
"Aghavnatun","AM",2913,40.2336111,44.2513889
"Akhuryan","AM",7672,40.7813889,43.8963889
"Aknalich","AM",2654,40.1430556,44.1483333
"Aknashen","AM",1362,40.0958333,44.2861111
"Alaverdi","AM",13186,41.1305556,44.6519444
"Amasia","AM",1675,40.9466667,43.7813889
"Amberd","AM",1267,40.2416667,44.2727778
"Anushavan","AM",1532,40.6419444,43.9822222
"Apaga","AM",1634,40.0961111,44.2511111
"Aparan","AM",5670,40.5961111,44.3536111
"Aragats","AM",2952,40.3330556,43.6580556
"Aragats","AM",5092,40.2183333,44.2327778
"Aragyukh","AM",999,40.4025,44.5436111
"Aramus","AM",3214,40.2511111,44.6630556
"Arapi","AM",1738,40.7797222,43.8005556
"Ararat","AM",6554,39.8094444,44.7144444
"Arazap","AM",1373,40.0427778,44.1458333
"Archis","AM",1235,41.1641667,44.8725
"Areni","AM",1718,39.7208333,45.1838889
"Arevabuyr","AM",1041,40.0361111,44.4688889
"Arevashat","AM",1403,40.1416667,44.3708333
"Arevashogh","AM",2435,40.8613889,44.2727778
"Arevik","AM",2455,40.1005556,44.0969444
"Arevik","AM",1522,40.7361111,43.8927778
"Arevshat","AM",2089,40.0391667,44.5416667
"Arevshat","AM",1623,40.6486111,44.0444444
"Argavand","AM",1703,40.1580556,44.44
"Argavand","AM",2047,40.0608333,44.0952778
"Argel","AM",2528,40.3794444,44.5994444
"Armash","AM",2434,39.7666667,44.8083333
"Armavir","AM",2752,40.0897222,44.0483333
"Arshaluys","AM",3808,40.1688889,44.2141667
"Artashat","AM",20562,39.9538889,44.5505556
"Arteni","AM",3086,40.2983333,43.7541667
"Artimet","AM",1501,40.1513889,44.2663889
"Artsvaberd","AM",3193,40.8336111,45.4711111
"Artsvanist","AM",2819,40.1544444,45.5022222
"Arzakan","AM",2660,40.4494444,44.6063889
"Arzni","AM",2244,40.2963889,44.5958333
"Ashnak","AM",1131,40.3275,43.9166667
"Ashtarak","AM",18779,40.3016667,44.3591667
"Astghadzor","AM",3520,40.1238889,45.3566667
"Avshar","AM",4215,39.8405556,44.6836111
"Aygavan","AM",3758,39.8647222,44.6702778
"Aygedzor","AM",2535,39.4627778,46.4152778
"Aygehovit","AM",2888,40.9744444,45.2519444
"Aygek","AM",1095,40.1886111,44.3833333
"Aygepat","AM",1349,39.95,44.6
"Aygeshat","AM",1358,40.2355556,44.2866667
"Aygeshat","AM",1606,40.0666667,44.0666667
"Aygestan","AM",2431,40.0030556,44.5575
"Aygezard","AM",3192,39.9458333,44.6088889
"Aygut","AM",997,40.6841667,45.1730556
"Ayrum","AM",2174,41.195,44.8925
"Ayrum","AM",2174,41.1716667,44.8191667
"Azatamut","AM",1850,40.9758333,45.1980556
"Azatan","AM",4448,40.7238889,43.8205556
"Azatavan","AM",2886,39.9833333,44.5
"Azatavan","AM",2886,40.1333333,44.0666667
"Baghramyan","AM",1690,40.1908333,43.8494444
"Bagratashen","AM",3024,41.2458333,44.8211111
"Balahovit","AM",2982,40.2536111,44.6038889
"Bambakashat","AM",3089,40.1144444,44.0122222
"Bardzrashen","AM",1273,40.0852778,44.5786111
"Bazum","AM",1114,40.8680556,44.4455556
"Berdavan","AM",3150,41.2027778,45.0033333
"Berd","AM",8374,40.8808333,45.3916667
"Brnakot","AM",1912,39.4969444,45.9730556
"Brun","AM",1028,39.5338889,46.3030556
"Buzhakan","AM",1678,40.4552778,44.5205556
"Byurakan","AM",3902,40.3413889,44.2736111
"Byuravan","AM",1228,40.0161111,44.5186111
"Byureghavan","AM",6972,40.3147222,44.5936111
"Chambarak","AM",6153,40.5952778,45.3475
"Chochkan","AM",1740,41.1861111,44.8313889
"Dalar","AM",2504,39.9669444,44.5363889
"Dalarik","AM",3080,40.2183333,43.8602778
"Darakert","AM",2325,40.1058333,44.4138889
"Darpas","AM",1785,40.8380556,44.4233333
"Dashtavan","AM",1762,40.1016667,44.3905556
"Ddmashen","AM",2157,40.5719444,44.8122222
"Dilijan","AM",13480,40.7408333,44.8630556
"Dimitrov","AM",1212,40.0080556,44.4880556
"Doghs","AM",1186,40.2227778,44.2716667
"Drakhtik","AM",1016,40.5688889,45.2319444
"Dsegh","AM",2484,40.9633333,44.6516667
"Dvin","AM",2795,40.02,44.5852778
"Dzitankov","AM",1162,40.5155556,43.8133333
"Dzoraghbyur","AM",2011,40.205,44.6430556
"Dzoragyukh","AM",3570,40.1752778,45.175
"Fantan","AM",1019,40.3941667,44.685
"Fioletovo","AM",1264,40.7247222,44.7138889
"Gagarin","AM",1305,40.5369444,44.8577778
"Gandzak","AM",3841,40.3147222,45.1113889
"Garni","AM",6827,40.1194444,44.7230556
"Gavar","AM",21681,40.3588889,45.1266667
"Gay","AM",3309,40.0838889,44.3055556
"Geghamasar","AM",1060,40.3116667,45.68
"Geghamavan","AM",1597,40.5619444,44.8827778
"Geghanist","AM",2409,40.1497222,44.4344444
"Getahovit","AM",2005,40.8958333,45.1313889
"Getashen","AM",2114,40.0433333,43.9447222
"Getazat","AM",1947,40.0380556,44.5638889
"Ghukasavan","AM",2113,40.1261111,44.4177778
"Gladzor","AM",2080,39.7783333,45.3477778
"Gogaran","AM",1088,40.8955556,44.1991667
"Goris","AM",20379,39.5077778,46.3386111
"Gosh","AM",994,40.7225,45.0033333
"Griboyedov","AM",1879,40.1130556,44.2716667
"Gyulagarak","AM",2109,40.9697222,44.4713889
"Gyumri","AM",148383,40.7894444,43.8475
"Haghartsin","AM",3370,40.7780556,44.9625
"Hayanist","AM",2031,40.1197222,44.3775
"Haykashen","AM",1140,40.0727778,44.3069444
"Haykavan","AM",1201,40.7558333,43.77
"Hnaberd","AM",1817,40.6427778,44.1444444
"Hoktember","AM",5348,40.1361111,44.0138889
"Horom","AM",1893,40.6541667,43.8822222
"Hovtashat","AM",3472,40.1019444,44.3427778
"Hovtashen","AM",1134,40.0244444,44.45
"Hrazdan","AM",40796,40.5016667,44.7547222
"Ijevan","AM",14737,40.8755556,45.1491667
"Janfida","AM",2986,40.0455556,44.0208333
"Jermuk","AM",4582,39.8416667,45.6722222
"Jrahovit","AM",1032,40.0452778,44.4736111
"Jrashen","AM",3078,40.7875,44.1972222
"Jrashen","AM",1696,40.0547222,44.5133333
"Kamaris","AM",2064,40.2358333,44.6938889
"Kamo","AM",1340,40.8280556,43.9483333
"Kanakeravan","AM",2950,40.2472222,44.5366667
"Kapan","AM",33161,39.2011111,46.415
"Kaputan","AM",1252,40.3244444,44.6938889
"Karbi","AM",3521,40.3338889,44.3777778
"Karchaghbyur","AM",2274,40.1638889,45.5722222
"Kasakh","AM",4247,40.5333333,44.4166667
"Khashtarak","AM",1728,40.9386111,45.1797222
"Khndzoresk","AM",1940,39.5122222,46.4336111
"Kosh","AM",2581,40.3072222,44.16
"Lanjaghbyur","AM",2097,40.2730556,45.1444444
"Lchashen","AM",4182,40.5202778,44.9308333
"Lenughi","AM",1499,40.1238889,43.9652778
"Lernakert","AM",1306,40.5669444,43.9361111
"Lernanist","AM",2511,40.4675,44.7980556
"Lernantsk","AM",1192,40.7955556,44.2783333
"Lernapat","AM",1710,40.82,44.3972222
"Lernavan","AM",1517,40.7883333,44.1844444
"Lorut","AM",1101,40.9388889,44.7725
"Lukashin","AM",2197,40.1758333,44.0186111
"Madina","AM",1024,40.0802778,45.2511111
"Maisyan","AM",1521,40.8530556,43.8294444
"Malishka","AM",4174,39.7369444,45.3875
"Maralik","AM",4959,40.5722222,43.8669444
"Margahovit","AM",3308,40.7380556,44.6875
"Margara","AM",1360,40.0336111,44.1738889
"Marmarashen","AM",2946,40.0575,44.4711111
"Marmashen","AM",1644,40.8375,43.7719444
"Martuni","AM",11037,40.1447222,45.3063889
"Masis","AM",18911,40.0138889,44.4858333
"Mayakovski","AM",1727,40.2522222,44.6383333
"Meghradzor","AM",2659,40.6147222,44.6522222
"Meghrashen","AM",1107,40.6758333,43.9486111
"Meghri","AM",4540,38.9022222,46.2383333
"Merdzavan","AM",2702,40.1816667,44.3991667
"Metsamor","AM",8789,40.0713889,44.2891667
"Metsavan","AM",4767,41.2016667,44.2288889
"Mets Masrik","AM",2570,40.2186111,45.7694444
"Mets Parni","AM",1934,40.8372222,44.1091667
"Mosesgegh","AM",1964,40.9063889,45.4913889
"Mrganush","AM",1032,40.0286111,44.5586111
"Mrgashat","AM",4961,40.1297222,44.0705556
"Mrgashen","AM",1623,40.285,44.5422222
"Mrgavan","AM",1713,39.9661111,44.5333333
"Mrgavet","AM",2131,40.0283333,44.4827778
"Musaler","AM",2323,40.1544444,44.3777778
"Musayelyan","AM",1499,40.7652778,43.9908333
"Myasnikyan","AM",3458,40.1775,43.9063889
"Nalbandyan","AM",4019,40.0677778,43.9855556
"Navur","AM",1227,40.8613889,45.3175
"Nizami","AM",1060,40.0913889,44.4041667
"Norakert","AM",2485,40.1922222,44.3466667
"Noramarg","AM",1811,40.0236111,44.4244444
"Nor Armavir","AM",1597,40.0866667,43.99
"Norashen","AM",3049,40.0041667,44.5947222
"Norashen","AM",1386,41.1880556,44.3272222
"Noratus","AM",5426,40.3822222,45.1783333
"Nor Geghi","AM",4896,40.3211111,44.5797222
"Nor Gyukh","AM",1462,40.2666667,44.6563889
"Nor Yerznka","AM",1459,40.3133333,44.4047222
"Noyakert","AM",1751,39.8166667,44.6669444
"Noyemberyan","AM",5119,41.1725,44.9936111
"Nshavan","AM",1916,40.0263889,44.5252778
"Odzun","AM",4524,41.0538889,44.6113889
"Oshakan","AM",4768,40.2705556,44.2691667
"Paravakar","AM",1637,40.9805556,45.3991667
"Pemzashen","AM",2436,40.5933333,43.94
"Pokr Mantash","AM",1838,40.65,44.05
"Proshyan","AM",4333,40.2480556,44.415
"Pshatavan","AM",2159,40.0405556,44.0675
"Ptghni","AM",1231,40.2566667,44.585
"Ranchpar","AM",989,40.0252778,44.3702778
"Rind","AM",1368,39.7597222,45.18
"Samaghar","AM",2343,40.1852778,44.2422222
"Saramech","AM",1111,40.7725,44.2191667
"Saratak","AM",1115,40.67,43.8663889
"Sarigyukh","AM",1096,41.0563889,45.1458333
"Sarukhan","AM",6173,40.2891667,45.1341667
"Sasunik","AM",1959,40.2472222,44.3380556
"Sevan","AM",17083,40.555,44.9536111
"Shaghat","AM",1011,39.5616667,45.9122222
"Shahumyan","AM",3905,39.9308333,44.5783333
"Shahumyan","AM",1843,40.7883333,44.5316667
"Shatin","AM",1671,39.8333333,45.3016667
"Shenavan","AM",1587,40.4861111,44.3825
"Shenavan","AM",1757,40.05,43.9333333
"Shinuhayr","AM",2206,39.4341667,46.3155556
"Shirakamut","AM",2008,40.8605556,44.1527778
"Shirak","AM",1007,40.8480556,43.9213889
"Shnogh","AM",2872,41.1477778,44.8377778
"Sisavan","AM",1793,39.9,44.6666667
"Sisian","AM",15208,39.4627778,45.9730556
"Sis","AM",1135,40.0586111,44.3863889
"Solak","AM",2295,40.4636111,44.7086111
"Sovetakan","AM",1613,40.1133333,44.0552778
"Spandaryan","AM",1226,40.665,44.0188889
"Spitak","AM",15063,40.7955556,44.2783333
"Surenavan","AM",2241,39.75,44.8
"Talin","AM",4945,40.3369444,43.8588889
"Tandzut","AM",1816,40.0772222,44.0886111
"Taronik","AM",1874,40.1330556,44.1991667
"Tashir","AM",7318,41.1244444,44.2819444
"Tazagyukh","AM",2248,40.1416667,45.1913889
"Tegh","AM",2120,39.5547222,46.4758333
"Tsaghkaber","AM",1207,40.7986111,44.1072222
"Tsaghkadzor","AM",1408,40.5386111,44.7113889
"Tsaghkahovit","AM",1551,40.6361111,44.2230556
"Tsiatsan","AM",1050,40.1869444,44.2666667
"Tsovagyugh","AM",3857,40.6330556,44.9522222
"Tsovak","AM",2531,40.1819444,45.635
"Tsovazard","AM",1949,40.4769444,45.0375
"Tsovinar","AM",3968,40.1608333,45.4538889
"Tumanyan","AM",1693,40.9633333,44.6516667
"Urut","AM",1102,41.0711111,44.3969444
"Ushi","AM",1276,40.3536111,44.3686111
"Vagharshapat","AM",49514,40.1727778,44.2925
"Vaghashen","AM",3235,40.1377778,45.3291667
"Vahagni","AM",1184,40.9080556,44.6069444
"Vahan","AM",1153,40.57,45.3955556
"Vanadzor","AM",101099,40.8127778,44.4883333
"Vardablur","AM",1297,40.95,44.4666667
"Vardadzor","AM",2095,40.1916667,45.1875
"Vardenik","AM",7709,40.135,45.4363889
"Vardenis","AM",11382,40.1805556,45.7283333
"Varser","AM",1614,40.5561111,44.9111111
"Vedi","AM",12192,39.9105556,44.7277778
"Verin Artashat","AM",3931,40.0005556,44.585
"Verin Dvin","AM",1853,40.0252778,44.5908333
"Verin Getashen","AM",4173,40.1327778,45.2486111
"Verishen","AM",2114,39.5358333,46.3119444
"Vernashen","AM",1162,39.7938889,45.3633333
"Voskehask","AM",1803,40.7383333,43.7758333
"Voskehat","AM",2181,40.1413889,44.3291667
"Voskevan","AM",1287,41.1191667,45.0652778
"Voskevaz","AM",3789,40.2797222,44.295
"Vostan","AM",2925,39.9588889,44.5591667
"Yeghegnavan","AM",1221,39.8277778,44.6372222
"Yeghegnut","AM",1746,40.0902778,44.1625
"Yeghegnut","AM",1154,40.9041667,44.6325
"Yeghvard","AM",10705,40.3216667,44.4813889
"Yeraskhahun","AM",1346,40.0722222,44.2158333
"Yerazgavors","AM",1285,40.7,43.75
"Yerevan","AM",1093499,40.1811111,44.5136111
"Zangakatun","AM",1130,39.8094444,45.0511111
"Zaritap","AM",1323,39.6372222,45.5086111
"Zar","AM",1340,40.2611111,44.7361111
"Zhdanov","AM",1512,40.1616667,44.0883333
"Zorak","AM",1390,40.0925,44.3919444
"Zoravan","AM",1167,40.3569444,44.5230556
"Zovaber","AM",1470,40.5736111,44.7863889
"Zovuni","AM",4484,40.5108333,44.4288889
"Barber","AN",2424,12.2833333,-69.0666667
"Golden Rock","AN",823,17.4833333,-62.9833333
"Hato","AN",13,12.1833333,-68.2833333
"Kralendijk","AN",3081,12.15,-68.2666667
"Lagún","AN",289,12.3166667,-69.1666667
"Nieuwpoort","AN",1937,12.05,-68.8166667
"Oranjestad","AN",1097,17.4666667,-62.9833333
"Rincón","AN",1496,12.2333333,-68.3333333
"Sint Michiel","AN",5138,12.1333333,-68.9833333
"Soto","AN",1987,12.2666667,-69.1
"The Bottom","AN",488,17.6333333,-63.25
"Westpunt","AN",783,12.3666667,-69.1666667
"Willemstad","AN",97590,12.1,-68.9166667
"Windward Side","AN",442,17.6333333,-63.2333333
"Benguela","AO",151235,-12.578333,13.407222
"Caála","AO",21205,-12.8525,15.560556
"Cabinda","AO",66020,-5.55,12.2
"Caconda","AO",10551,-13.733333,15.066667
"Caluquembe","AO",30305,-13.783333,14.683333
"Camabatela","AO",12839,-8.18812,15.37495
"Camacupa","AO",19150,-12.016667,17.483333
"Catabola","AO",18858,-12.15,17.283333
"Catumbela","AO",16980,-12.431389,13.547222
"Caxito","AO",28229,-8.58,13.664167
"Cazaje","AO",4764,-11.067147,20.701483
"Chissamba","AO",7677,-12.166667,17.333333
"Huambo","AO",226177,-12.776111,15.739167
"Kibala","AO",8915,-10.73366,14.979949
"Kuito","AO",113624,-12.383333,16.933333
"Leúa","AO",5168,-11.65,20.45
"Lobito","AO",207957,-12.319722,13.599722
"Longonjo","AO",24350,-12.906667,15.253333
"Luanda","AO",2776125,-8.836804,13.233174
"Luau","AO",18465,-10.707273,22.22466
"Lubango","AO",102541,-14.916667,13.5
"Lucapa","AO",20115,-8.419151,20.744655
"Luena","AO",21115,-11.783333,19.916667
"Lumeje","AO",4972,-11.55,20.783333
"Malanje","AO",87047,-9.544722,16.345278
"Menongue","AO",19141,-14.661639,17.688224
"Namibe","AO",80150,-15.196111,12.152222
"Ondjiva","AO",10169,-17.066667,15.733333
"Saurimo","AO",40498,-9.66078,20.391553
"Soyo","AO",67553,-6.134903,12.368935
"Sumbe","AO",33278,-11.206048,13.843713
"Uíge","AO",60008,-7.613282,15.056621
"Alta Gracia","AR",40385,-31.652925,-64.428259
"Azul","AR",52333,-36.776976,-59.858539
"Bahia Blanca","AR",282950,-38.719595,-62.272432
"Bell Ville","AR",35106,-32.625906,-62.68873
"Campana","AR",83175,-34.168742,-58.95914
"Catamarca","AR",213601,-28.469574,-65.785239
"Chacabuco","AR",34587,-34.641667,-60.473889
"Chivilcoy","AR",52307,-34.895661,-60.016667
"Comodoro Rivadavia","AR",142597,-45.864135,-67.496558
"Concepcion del Uruguay","AR",72904,-32.482493,-58.237217
"Concordia","AR",155686,-31.392959,-58.02089
"Cordoba","AR",1441007,-31.413496,-64.181052
"Corrientes","AR",390481,-27.480596,-58.834099
"Dolores","AR",25190,-36.313215,-57.679185
"Eldorado","AR",62823,-26.404841,-54.624784
"Formosa","AR",248756,-26.177534,-58.178139
"General Pico","AR",55900,-35.656622,-63.756815
"General Roca","AR",76066,-39.02797,-67.573711
"Goya","AR",70340,-29.14003,-59.262564
"Gualeguaychu","AR",88218,-33.009375,-58.51722
"Gualeguay","AR",33120,-33.141559,-59.309657
"Jujuy","AR",277150,-24.194565,-65.297116
"Junin","AR",76369,-34.583816,-60.943318
"La Plata","AR",684318,-34.921454,-57.954533
"La Rioja","AR",178497,-29.411048,-66.850668
"Libertador General San Martin","AR",49273,-23.806443,-64.787574
"Lincoln","AR",24798,-34.866494,-61.530197
"Lujan","AR",74823,-34.570278,-59.105
"Lujan","AR",77625,-33.035471,-68.877823
"Mar del Plata","AR",645771,-38.002278,-57.557539
"Mendoza","AR",973047,-32.890845,-68.827171
"Mercedes","AR",49067,-34.651455,-59.430676
"Mercedes","AR",30649,-29.181858,-58.078951
"Mercedes","AR",126559,-33.674359,-65.461405
"Necochea","AR",84969,-38.547259,-58.736753
"Neuquen","AR",359037,-38.951606,-68.059102
"Nueve de Julio","AR",34717,-35.444374,-60.883131
"Obera","AR",58939,-27.487059,-55.11994
"Olavarria","AR",80005,-36.892715,-60.32254
"Parana","AR",299257,-31.731967,-60.523802
"Pergamino","AR",86708,-33.889949,-60.573568
"Posadas","AR",313438,-27.367077,-55.896078
"Presidencia Roque Saenz Pena","AR",89584,-26.785221,-60.438761
"Puerto Madryn","AR",95547,-42.769201,-65.038513
"Punta Alta","AR",53117,-38.875875,-62.073589
"Rafaela","AR",84025,-31.250332,-61.486696
"Rawson","AR",26341,-43.300158,-65.10228
"Reconquista","AR",95979,-29.15,-59.65
"Resistencia","AR",406967,-27.46056,-58.983886
"Rio Cuarto","AR",174058,-33.130671,-64.349918
"Rio Gallegos","AR",93234,-51.622613,-69.218127
"Rio Tercero","AR",53396,-32.173008,-64.114055
"Rivadavia","AR",65641,-33.190509,-68.46081
"Rosario","AR",1218497,-32.946818,-60.639317
"Salta","AR",548288,-24.785896,-65.411664
"San Carlos de Bariloche","AR",110044,-41.140293,-71.301369
"San Francisco","AR",71444,-31.427971,-62.082656
"San Juan","AR",469958,-31.5375,-68.536389
"San Lorenzo","AR",47627,-28.133061,-58.767331
"San Luis","AR",184869,-33.295012,-66.335627
"San Martin","AR",107554,-33.081031,-68.468138
"San Nicolas","AR",130705,-33.335784,-60.225233
"San Pedro","AR",67514,-33.679127,-59.666635
"San Pedro","AR",43124,-24.231266,-64.866141
"San Rafael","AR",125033,-34.617717,-68.330066
"San Ramon de la Nueva Oran","AR",84504,-23.13398,-64.324645
"Santa Fe","AR",456044,-31.629484,-60.701036
"Santa Rosa","AR",89478,-36.616667,-64.283333
"Santiago del Estero","AR",407636,-27.795112,-64.261489
"San Vicente","AR",84333,-34.982645,-58.376169
"Tandil","AR",100127,-37.321674,-59.133164
"Tartagal","AR",63600,-22.516365,-63.801314
"Trelew","AR",107883,-43.250075,-65.313295
"Tres Arroyos","AR",47143,-38.373939,-60.279781
"Tucuman","AR",828402,-26.824144,-65.2226
"Ushuaia","AR",58045,-54.8,-68.3
"Veinticinco de Mayo","AR",24668,-35.432303,-60.172707
"Venado Tuerto","AR",71794,-33.745564,-61.968845
"Victoria","AR",25139,-32.619888,-60.153907
"Viedma","AR",76553,-40.813452,-62.996676
"Villa Carlos Paz","AR",61095,-31.424138,-64.497778
"Villa Constitucion","AR",44278,-33.227778,-60.329699
"Villa Maria","AR",92337,-32.407514,-63.240161
"Zarate","AR",88222,-34.098142,-59.028585
"Absam","AT",6594,47.3,11.5
"Abtenau","AT",5829,47.55,13.35
"Altach","AT",6040,47.35,9.65
"Althofen","AT",4833,47.15,14.233333
"Altmunster","AT",9652,47.9,13.75
"Amstetten","AT",22832,48.116667,14.866667
"Anif","AT",4154,47.75,13.066667
"Ansfelden","AT",14936,48.2,14.283333
"Arnoldstein","AT",6923,46.546111,13.71
"Asten","AT",6517,48.216667,14.4
